date,name,category,value
1990-01-01,Algeria,North Africa and Middle East,2473253.484
1991-01-01,Algeria,North Africa and Middle East,2540260.592
1992-01-01,Algeria,North Africa and Middle East,2608305.024
1993-01-01,Algeria,North Africa and Middle East,2674899.37
1994-01-01,Algeria,North Africa and Middle East,2739402.346
1995-01-01,Algeria,North Africa and Middle East,2801419.473
1996-01-01,Algeria,North Africa and Middle East,2865981.168
1997-01-01,Algeria,North Africa and Middle East,2933118.248
1998-01-01,Algeria,North Africa and Middle East,3003758.039
1999-01-01,Algeria,North Africa and Middle East,3078489.318
2000-01-01,Algeria,North Africa and Middle East,3154583.146
2001-01-01,Algeria,North Africa and Middle East,3232672.732
2002-01-01,Algeria,North Africa and Middle East,3316352.204
2003-01-01,Algeria,North Africa and Middle East,3397607.621
2004-01-01,Algeria,North Africa and Middle East,3488583.097
2005-01-01,Algeria,North Africa and Middle East,3591200.035
2006-01-01,Algeria,North Africa and Middle East,3693888.394
2007-01-01,Algeria,North Africa and Middle East,3806216.085
2008-01-01,Algeria,North Africa and Middle East,3920444.024
2009-01-01,Algeria,North Africa and Middle East,4037834.829
2010-01-01,Algeria,North Africa and Middle East,4154977.991
2011-01-01,Algeria,North Africa and Middle East,4268132.329
2012-01-01,Algeria,North Africa and Middle East,4377642.335
2013-01-01,Algeria,North Africa and Middle East,4483342.329
2014-01-01,Algeria,North Africa and Middle East,4584285.329
2015-01-01,Algeria,North Africa and Middle East,4680990.381
2016-01-01,Algeria,North Africa and Middle East,4775855.995
2017-01-01,Algeria,North Africa and Middle East,4878967.843
2018-01-01,Algeria,North Africa and Middle East,4979791.166
2019-01-01,Algeria,North Africa and Middle East,5078382.287
1990-01-01,Bahrain,North Africa and Middle East,49854.36688
1991-01-01,Bahrain,North Africa and Middle East,50642.99228
1992-01-01,Bahrain,North Africa and Middle East,50878.01275
1993-01-01,Bahrain,North Africa and Middle East,50967.33096
1994-01-01,Bahrain,North Africa and Middle East,51186.08577
1995-01-01,Bahrain,North Africa and Middle East,51695.70737
1996-01-01,Bahrain,North Africa and Middle East,52347.40703
1997-01-01,Bahrain,North Africa and Middle East,52862.16662
1998-01-01,Bahrain,North Africa and Middle East,53347.27543
1999-01-01,Bahrain,North Africa and Middle East,53993.31109
2000-01-01,Bahrain,North Africa and Middle East,54907.95615
2001-01-01,Bahrain,North Africa and Middle East,56412.31679
2002-01-01,Bahrain,North Africa and Middle East,60294.1093
2003-01-01,Bahrain,North Africa and Middle East,66596.20114
2004-01-01,Bahrain,North Africa and Middle East,74880.61739
2005-01-01,Bahrain,North Africa and Middle East,83661.68092
2006-01-01,Bahrain,North Africa and Middle East,92438.04329
2007-01-01,Bahrain,North Africa and Middle East,101974.9274
2008-01-01,Bahrain,North Africa and Middle East,113975.7644
2009-01-01,Bahrain,North Africa and Middle East,126735.9022
