location_name,val
China,4.654783
Democratic People's Republic of Korea,4.2347943
Cambodia,6.3238715
Indonesia,3.5119388
Lao People's Democratic Republic,5.2926937
Malaysia,4.4069106
Maldives,7.7695532
Myanmar,16.1839
Philippines,13.3090546
Sri Lanka,2.9023465
Thailand,6.3238508
Timor-Leste,5.3997215
Viet Nam,4.2931381
Fiji,17.4191418
Kiribati,36.0645696
Marshall Islands,7.6216192
Micronesia (Federated States of),32.5070796
Papua New Guinea,24.0228932
Samoa,16.6408316
Solomon Islands,17.5691913
Tonga,13.6141448
Vanuatu,7.2227659
Armenia,3.2460388
Azerbaijan,2.010129
Georgia,6.2891885
Kazakhstan,7.3991351
Kyrgyzstan,2.9679179
Mongolia,5.8340902
Tajikistan,2.08847
Turkmenistan,4.7966304
Uzbekistan,1.3428165
Albania,6.6959442
Bosnia and Herzegovina,21.9838297
Bulgaria,38.4819932
Croatia,34.7985301
Czechia,29.7297812
Hungary,32.0479693
Montenegro,33.4952413
Poland,28.893596100000003
Romania,21.3303172
Serbia,31.704135300000004
Slovakia,24.2954393
Slovenia,21.6906714
Belarus,17.6788214
Estonia,20.8317873
Latvia,20.8739485
Lithuania,14.701345599999998
Republic of Moldova,6.5545205
Russian Federation,12.7281307
Ukraine,15.2469806
Brunei Darussalam,7.2628105
Japan,13.7946993
Republic of Korea,6.5725052
Singapore,9.748073
Australia,25.8276499
New Zealand,26.7312249
Andorra,30.1175347
Austria,30.9296937
Belgium,29.3207287
Cyprus,24.1143977
Denmark,43.7940306
Finland,25.8026307
France,31.4715113
Germany,27.0308083
Greece,32.5969531
Iceland,28.2977213
Ireland,30.7374995
Israel,23.246049
Italy,24.8736534
Luxembourg,29.413929900000003
Malta,24.3678022
Netherlands,35.7861885
Norway,38.7513075
Portugal,16.802360699999998
Spain,31.561066500000003
Sweden,26.091697600000003
Switzerland,29.1905156
United Kingdom,30.7068683
Argentina,25.2376557
Chile,37.4443218
Uruguay,29.2886557
Canada,29.9998359
United States of America,24.1955272
Antigua and Barbuda,4.5366951
Bahamas,3.5511391000000003
Barbados,4.8713818
Belize,3.7357418
Cuba,23.6983405
Dominica,6.7449492
Dominican Republic,12.3904289
Grenada,5.5259524
Guyana,4.620522299999999
Haiti,5.116188800000001
Jamaica,9.2694766
Saint Lucia,6.2137171
Saint Vincent and the Grenadines,4.3948426
Suriname,12.1614893
Trinidad and Tobago,8.4262221
Bolivia (Plurinational State of),6.6211720000000005
Ecuador,5.8389281
Peru,5.5010278
Colombia,14.118904700000002
Costa Rica,13.4270525
El Salvador,2.6142513
Guatemala,4.4622691
Honduras,5.7943384
Mexico,16.658943700000002
Nicaragua,6.279389500000001
Panama,7.1450264
Venezuela (Bolivarian Republic of),16.3779743
Brazil,25.4820707
Paraguay,14.461985
Algeria,2.3960657
Bahrain,5.8628465
Egypt,1.1061269
Iran (Islamic Republic of),4.298635399999999
Iraq,4.5206068
Jordan,10.5610915
Kuwait,5.1575826
Lebanon,18.9768776
Libya,1.4259593
Morocco,1.4955268000000002
Oman,2.0342254
Qatar,2.9159616
Saudi Arabia,1.6344572000000002
Syrian Arab Republic,7.8198821
Tunisia,3.3585321
Turkey,16.0886035
United Arab Emirates,3.7932926
Yemen,8.589445399999999
Afghanistan,1.1171557
Bangladesh,2.8903572
Bhutan,4.9613045
India,4.412518
Nepal,30.6366914
Pakistan,6.4824966
Angola,3.0064944
Central African Republic,2.1260197
Congo,1.5663119
Democratic Republic of the Congo,1.4044651
Equatorial Guinea,2.4277637000000003
Gabon,2.9164987
Burundi,5.9159189
Comoros,3.2862158000000004
Djibouti,4.7989718
Eritrea,0.8786601999999999
Ethiopia,1.2648617
Kenya,4.2711983
Madagascar,4.0585556
Malawi,3.9250965
Mauritius,5.7359317
Mozambique,6.4537114
Rwanda,9.0841405
Seychelles,7.8334526
Somalia,3.388274
United Republic of Tanzania,4.3336727
Uganda,4.520718
Zambia,6.8711078
Botswana,10.2696815
Lesotho,1.8030986
Namibia,14.223829599999998
South Africa,15.4552331
Zimbabwe,3.8615027
Benin,3.1347143
Burkina Faso,2.3102871
Cameroon,1.9870569
Cabo Verde,4.4060558
Chad,4.4345032
Côte d'Ivoire,3.9802505
Gambia,1.9814498
Ghana,1.9137476
Guinea,2.2113405
Guinea-Bissau,0.9445941
Liberia,2.5995307
Mali,1.7645267999999998
Mauritania,9.4899912
Niger,1.5579238
Nigeria,2.3312162
Sao Tome and Principe,1.6023336
Senegal,2.6001422
Sierra Leone,10.4305108
Togo,3.568457
Cook Islands,24.8007635
Monaco,28.8611865
Nauru,44.7297573
Niue,16.2048563
Palau,12.9492115
Saint Kitts and Nevis,3.0360717
San Marino,27.6164878
Tuvalu,19.1666649
South Sudan,3.2971707
Sudan,2.3360059
Swaziland,-
The former Yugoslav Republic of Macedonia,-
