<<<<<<< HEAD
location_name,val
Global,0.096171373
"Southeast Asia, East Asia, and Oceania",0.04907981
East Asia,0.04319617
China,0.042817256
Democratic People's Republic of Korea,0.044814342
Taiwan (Province of China),0.066122086
Southeast Asia,0.063110881
Cambodia,0.068569323
Indonesia,0.039171999
Lao People's Democratic Republic,0.052786904
Malaysia,0.044870789
Maldives,0.073199744
Myanmar,0.148923666
Philippines,0.130663211
Sri Lanka,0.024661268
Thailand,0.056653537
Timor-Leste,0.053246679
Viet Nam,0.040935792
Oceania,0.226676035
Fiji,0.16477401
Kiribati,0.388573816
Marshall Islands,0.075339449
Micronesia (Federated States of),0.330083828
Papua New Guinea,0.248452633
Samoa,0.169069432
Solomon Islands,0.167658093
Tonga,0.13988658
Vanuatu,0.078528313
"Central Europe, Eastern Europe, and Central Asia",0.167748774
Central Asia,0.039634409
Armenia,0.032260793
Azerbaijan,0.022247152
Georgia,0.064030814
Kazakhstan,0.080579045
Kyrgyzstan,0.031605005
Mongolia,0.062067081
Tajikistan,0.017910195
Turkmenistan,0.047455549
Uzbekistan,0.016767134
Central Europe,0.27234649
Albania,0.073427229
Bosnia and Herzegovina,0.231823575
Bulgaria,0.374525821
Croatia,0.314877717
Czechia,0.30182556
Hungary,0.331715858
North Macedonia,0.294976072
Montenegro,0.357630023
Poland,0.26968294
Romania,0.220541308
Serbia,0.318642463
Slovakia,0.238779521
Slovenia,0.208730237
Eastern Europe,0.154051214
Belarus,0.168892378
Estonia,0.209088698
Latvia,0.198119652
Lithuania,0.150533708
Republic of Moldova,0.068002379
Russian Federation,0.15459723
Ukraine,0.15375333
High-income,0.235604973
High-income Asia Pacific,0.123705852
Brunei Darussalam,0.057978167
Japan,0.149203731
Republic of Korea,0.064592702
Singapore,0.089886813
Australasia,0.233633285
Australia,0.225987985
New Zealand,0.272096066
Western Europe,0.282764366
Andorra,0.287649698
Austria,0.340676066
Belgium,0.280181213
Cyprus,0.234756795
Denmark,0.374450891
Finland,0.236790347
France,0.313490352
Germany,0.276530409
Greece,0.344084163
Iceland,0.254050309
Ireland,0.294533718
Israel,0.199141164
Italy,0.230029897
Luxembourg,0.290023818
Malta,0.203744129
Netherlands,0.311040417
Norway,0.334359779
Portugal,0.177991226
Spain,0.300147437
Sweden,0.236631572
Switzerland,0.289362446
United Kingdom,0.297174885
Southern Latin America,0.285783298
Argentina,0.2472547
Chile,0.369442107
Uruguay,0.310414111
High-income North America,0.234634265
Canada,0.26106422
United States of America,0.231672542
Latin America and Caribbean,0.156837143
Caribbean,0.139768904
Antigua and Barbuda,0.04819304
Bahamas,0.034293932
Barbados,0.050158542
Belize,0.037282811
Cuba,0.243349875
Dominica,0.065768323
Dominican Republic,0.131585489
Grenada,0.058099717
Guyana,0.045979855
Haiti,0.046679386
Jamaica,0.095785688
Saint Lucia,0.062426289
Saint Vincent and the Grenadines,0.04734947
Suriname,0.120081838
Trinidad and Tobago,0.078139944
Andean Latin America,0.057506287
Bolivia (Plurinational State of),0.055355764
Ecuador,0.055386193
Peru,0.059158127
Central Latin America,0.129804676
Colombia,0.139341546
Costa Rica,0.128036234
El Salvador,0.027594062
Guatemala,0.043702711
Honduras,0.055327891
Mexico,0.144821332
Nicaragua,0.059410936
Panama,0.071061408
Venezuela (Bolivarian Republic of),0.148659031
Tropical Latin America,0.210190226
Brazil,0.211983258
Paraguay,0.136975646
North Africa and Middle East,0.058920564
North Africa and Middle East,0.058920564
Algeria,0.021925997
Bahrain,0.049991134
Egypt,0.012297514
Iran (Islamic Republic of),0.043219431
Iraq,0.042735784
Jordan,0.102375697
Kuwait,0.050396041
Lebanon,0.220908181
Libya,0.01289005
Morocco,0.01328352
Palestine,0.042950645
Oman,0.016702778
Qatar,0.029156709
Saudi Arabia,0.018830329
Syrian Arab Republic,0.073217646
Tunisia,0.032168601
Turkey,0.174624815
United Arab Emirates,0.042123596
Yemen,0.085249311
South Asia,0.047173307
South Asia,0.047173307
Afghanistan,0.01508111
Bangladesh,0.025390562
Bhutan,0.046875191
India,0.042675417
Nepal,0.310184929
Pakistan,0.062804696
Sub-Saharan Africa,0.040972711
Central Sub-Saharan Africa,0.016438061
Angola,0.027196395
Central African Republic,0.018768905
Congo,0.016939662
Democratic Republic of the Congo,0.012757232
Equatorial Guinea,0.023501434
Gabon,0.030927829
Eastern Sub-Saharan Africa,0.039692098
Burundi,0.05189108
Comoros,0.033451043
Djibouti,0.045917033
Eritrea,0.00824291
Ethiopia,0.010885467
Kenya,0.0478877
Madagascar,0.033786248
Malawi,0.042222759
Mauritius,0.05332792
Mozambique,0.066709899
Rwanda,0.09240351
Seychelles,0.081564951
Somalia,0.03219418
United Republic of Tanzania,0.045563313
Uganda,0.051211067
Zambia,0.077034519
Southern Sub-Saharan Africa,0.114067002
Botswana,0.096924049
Lesotho,0.018836863
Namibia,0.14181185
South Africa,0.13552098
Eswatini,0.037062745
Zimbabwe,0.040212022
Western Sub-Saharan Africa,0.025507727
Benin,0.032588356
Burkina Faso,0.025328029
Cameroon,0.019377246
Cabo Verde,0.03836453
Chad,0.046044
Côte d'Ivoire,0.043065994
Gambia,0.017741467
Ghana,0.019229384
Guinea,0.021328076
Guinea-Bissau,0.008340788
Liberia,0.027613819
Mali,0.019721954
Mauritania,0.092770942
Niger,0.018865912
Nigeria,0.020178262
Sao Tome and Principe,0.018086888
Senegal,0.026701503
Sierra Leone,0.103046311
Togo,0.033202429
American Samoa,0.239959598
Bermuda,0.089541267
Cook Islands,0.254307156
Greenland,0.465172089
Guam,0.223555792
Monaco,0.275099898
Nauru,0.472687909
Niue,0.162867702
Northern Mariana Islands,0.218784096
Palau,0.133572391
Puerto Rico,0.097266293
Saint Kitts and Nevis,0.03266907
San Marino,0.254159747
Tokelau,0.168852011
Tuvalu,0.195846548
United States Virgin Islands,0.069630956
South Sudan,0.030957413
Sudan,0.024305197
=======
location_name,val
Global,9.6171373
"Southeast Asia, East Asia, and Oceania",4.907981
East Asia,4.319617
China,4.2817256
Democratic People's Republic of Korea,4.4814342
Taiwan (Province of China),6.6122086
Southeast Asia,6.311088099999999
Cambodia,6.8569323
Indonesia,3.9171999
Lao People's Democratic Republic,5.2786904
Malaysia,4.4870789
Maldives,7.3199743999999995
Myanmar,14.8923666
Philippines,13.0663211
Sri Lanka,2.4661268
Thailand,5.6653537
Timor-Leste,5.3246679
Viet Nam,4.0935792
Oceania,22.6676035
Fiji,16.477401
Kiribati,38.857381600000004
Marshall Islands,7.5339449
Micronesia (Federated States of),33.0083828
Papua New Guinea,24.8452633
Samoa,16.9069432
Solomon Islands,16.7658093
Tonga,13.988658000000001
Vanuatu,7.8528313
"Central Europe, Eastern Europe, and Central Asia",16.774877399999998
Central Asia,3.9634409
Armenia,3.2260793000000003
Azerbaijan,2.2247152
Georgia,6.4030814000000005
Kazakhstan,8.0579045
Kyrgyzstan,3.1605005
Mongolia,6.2067081
Tajikistan,1.7910195
Turkmenistan,4.7455549
Uzbekistan,1.6767134
Central Europe,27.234649
Albania,7.3427229
Bosnia and Herzegovina,23.182357500000002
Bulgaria,37.4525821
Croatia,31.4877717
Czechia,30.182555999999998
Hungary,33.171585799999995
North Macedonia,29.497607199999997
Montenegro,35.763002300000004
Poland,26.968293999999997
Romania,22.0541308
Serbia,31.864246299999998
Slovakia,23.877952099999998
Slovenia,20.8730237
Eastern Europe,15.405121399999999
Belarus,16.8892378
Estonia,20.908869799999998
Latvia,19.8119652
Lithuania,15.0533708
Republic of Moldova,6.8002379
Russian Federation,15.459723
Ukraine,15.375333
High-income,23.560497299999998
High-income Asia Pacific,12.3705852
Brunei Darussalam,5.797816699999999
Japan,14.9203731
Republic of Korea,6.459270200000001
Singapore,8.9886813
Australasia,23.363328499999998
Australia,22.5987985
New Zealand,27.2096066
Western Europe,28.2764366
Andorra,28.7649698
Austria,34.0676066
Belgium,28.018121299999997
Cyprus,23.4756795
Denmark,37.445089100000004
Finland,23.679034700000003
France,31.349035200000003
Germany,27.653040899999997
Greece,34.4084163
Iceland,25.405030899999996
Ireland,29.4533718
Israel,19.9141164
Italy,23.0029897
Luxembourg,29.0023818
Malta,20.3744129
Netherlands,31.1040417
Norway,33.435977900000005
Portugal,17.7991226
Spain,30.0147437
Sweden,23.6631572
Switzerland,28.9362446
United Kingdom,29.7174885
Southern Latin America,28.578329800000002
Argentina,24.725469999999998
Chile,36.9442107
Uruguay,31.041411099999998
High-income North America,23.4634265
Canada,26.106422000000002
United States of America,23.167254200000002
Latin America and Caribbean,15.683714300000002
Caribbean,13.9768904
Antigua and Barbuda,4.819304
Bahamas,3.4293932
Barbados,5.0158542
Belize,3.7282811
Cuba,24.3349875
Dominica,6.5768323
Dominican Republic,13.1585489
Grenada,5.8099717
Guyana,4.5979855
Haiti,4.6679386
Jamaica,9.5785688
Saint Lucia,6.242628900000001
Saint Vincent and the Grenadines,4.734947
Suriname,12.0081838
Trinidad and Tobago,7.8139944
Andean Latin America,5.7506287
Bolivia (Plurinational State of),5.5355764
Ecuador,5.5386193
Peru,5.9158127
Central Latin America,12.9804676
Colombia,13.934154600000001
Costa Rica,12.8036234
El Salvador,2.7594062
Guatemala,4.3702711
Honduras,5.5327891
Mexico,14.4821332
Nicaragua,5.941093599999999
Panama,7.1061408
Venezuela (Bolivarian Republic of),14.8659031
Tropical Latin America,21.0190226
Brazil,21.1983258
Paraguay,13.6975646
North Africa and Middle East,5.8920564
North Africa and Middle East,5.8920564
Algeria,2.1925996999999997
Bahrain,4.9991134
Egypt,1.2297514
Iran (Islamic Republic of),4.3219431
Iraq,4.2735784
Jordan,10.2375697
Kuwait,5.0396041
Lebanon,22.0908181
Libya,1.289005
Morocco,1.328352
Palestine,4.2950645000000005
Oman,1.6702778
Qatar,2.9156709
Saudi Arabia,1.8830329
Syrian Arab Republic,7.3217646
Tunisia,3.2168601
Turkey,17.4624815
United Arab Emirates,4.2123596
Yemen,8.5249311
South Asia,4.7173307
South Asia,4.7173307
Afghanistan,1.508111
Bangladesh,2.5390561999999997
Bhutan,4.687519099999999
India,4.2675417
Nepal,31.0184929
Pakistan,6.280469599999999
Sub-Saharan Africa,4.0972711
Central Sub-Saharan Africa,1.6438061
Angola,2.7196395
Central African Republic,1.8768904999999998
Congo,1.6939662000000002
Democratic Republic of the Congo,1.2757232
Equatorial Guinea,2.3501434000000003
Gabon,3.0927829
Eastern Sub-Saharan Africa,3.9692098000000002
Burundi,5.189108
Comoros,3.3451043
Djibouti,4.591703300000001
Eritrea,0.8242910000000001
Ethiopia,1.0885467
Kenya,4.7887699999999995
Madagascar,3.3786248
Malawi,4.2222759
Mauritius,5.332792
Mozambique,6.6709899
Rwanda,9.240350999999999
Seychelles,8.156495099999999
Somalia,3.219418
United Republic of Tanzania,4.5563313
Uganda,5.1211067
Zambia,7.703451899999999
Southern Sub-Saharan Africa,11.4067002
Botswana,9.6924049
Lesotho,1.8836863
Namibia,14.181185
South Africa,13.552098
Eswatini,3.7062745
Zimbabwe,4.0212022
Western Sub-Saharan Africa,2.5507727
Benin,3.2588356
Burkina Faso,2.5328028999999996
Cameroon,1.9377246000000001
Cabo Verde,3.836453
Chad,4.6044
Côte d'Ivoire,4.3065994000000005
Gambia,1.7741467
Ghana,1.9229383999999998
Guinea,2.1328076
Guinea-Bissau,0.8340788
Liberia,2.7613819
Mali,1.9721954
Mauritania,9.277094199999999
Niger,1.8865911999999998
Nigeria,2.0178262
Sao Tome and Principe,1.8086887999999999
Senegal,2.6701503
Sierra Leone,10.3046311
Togo,3.3202428999999998
American Samoa,23.9959598
Bermuda,8.9541267
Cook Islands,25.4307156
Greenland,46.5172089
Guam,22.3555792
Monaco,27.5099898
Nauru,47.2687909
Niue,16.2867702
Northern Mariana Islands,21.8784096
Palau,13.357239100000001
Puerto Rico,9.7266293
Saint Kitts and Nevis,3.2669070000000002
San Marino,25.4159747
Tokelau,16.8852011
Tuvalu,19.584654800000003
United States Virgin Islands,6.963095599999999
South Sudan,3.0957413
Sudan,2.4305197
>>>>>>> 7e8bd89236eaa86abd56d27badc77149a7eb9b1f
