<<<<<<< HEAD
location_name,val
Global,0.237778954
"Southeast Asia, East Asia, and Oceania",0.281442591
East Asia,0.275388496
China,0.276325109
Democratic People's Republic of Korea,0.253712374
Taiwan (Province of China),0.245582934
Southeast Asia,0.293014066
Cambodia,0.267403898
Indonesia,0.326880645
Lao People's Democratic Republic,0.236710803
Malaysia,0.268238174
Maldives,0.248972904
Myanmar,0.293539559
Philippines,0.327500045
Sri Lanka,0.16075386
Thailand,0.231530275
Timor-Leste,0.339990437
Viet Nam,0.276398862
Oceania,0.355458918
Fiji,0.311141419
Kiribati,0.520182632
Marshall Islands,0.214254779
Micronesia (Federated States of),0.469651817
Papua New Guinea,0.368090851
Samoa,0.31433785
Solomon Islands,0.322996849
Tonga,0.315589436
Vanuatu,0.265834783
"Central Europe, Eastern Europe, and Central Asia",0.325610981
Central Asia,0.203731758
Armenia,0.292105016
Azerbaijan,0.231691254
Georgia,0.270999992
Kazakhstan,0.282863427
Kyrgyzstan,0.221507922
Mongolia,0.271101857
Tajikistan,0.117997314
Turkmenistan,0.194312767
Uzbekistan,0.12828659
Central Europe,0.335258313
Albania,0.243618156
Bosnia and Herzegovina,0.353264868
Bulgaria,0.427558809
Croatia,0.348712129
Czechia,0.332576051
Hungary,0.375377474
North Macedonia,0.380642746
Montenegro,0.405115575
Poland,0.31528884
Romania,0.326102918
Serbia,0.370039764
Slovakia,0.302761884
Slovenia,0.257766723
Eastern Europe,0.362261219
Belarus,0.321889434
Estonia,0.333690528
Latvia,0.340394107
Lithuania,0.288791841
Republic of Moldova,0.240310391
Russian Federation,0.370362887
Ukraine,0.36251892
High-income,0.284925202
High-income Asia Pacific,0.297967019
Brunei Darussalam,0.176562146
Japan,0.311030849
Republic of Korea,0.277861937
Singapore,0.167312841
Australasia,0.232605636
Australia,0.227447426
New Zealand,0.259237707
Western Europe,0.313893458
Andorra,0.327012767
Austria,0.377745338
Belgium,0.301459522
Cyprus,0.355546738
Denmark,0.316139204
Finland,0.256303347
France,0.346121606
Germany,0.314750962
Greece,0.429515058
Iceland,0.228479379
Ireland,0.302052453
Israel,0.24765705
Italy,0.27354536
Luxembourg,0.307277995
Malta,0.23193296
Netherlands,0.321821441
Norway,0.288526302
Portugal,0.279881356
Spain,0.380082442
Sweden,0.18696165
Switzerland,0.303407316
United Kingdom,0.277536943
Southern Latin America,0.314285716
Argentina,0.281959202
Chile,0.38129929
Uruguay,0.339820921
High-income North America,0.237289976
Canada,0.243936164
United States of America,0.236432355
Latin America and Caribbean,0.200298085
Caribbean,0.194505682
Antigua and Barbuda,0.075594078
Bahamas,0.069184449
Barbados,0.105302816
Belize,0.123445941
Cuba,0.321619005
Dominica,0.10227635
Dominican Republic,0.147548419
Grenada,0.118867467
Guyana,0.140007935
Haiti,0.087077903
Jamaica,0.179298519
Saint Lucia,0.138806459
Saint Vincent and the Grenadines,0.124938517
Suriname,0.259760203
Trinidad and Tobago,0.181406028
Andean Latin America,0.105639398
Bolivia (Plurinational State of),0.09213849
Ecuador,0.145387209
Peru,0.090645467
Central Latin America,0.201464073
Colombia,0.196892982
Costa Rica,0.175659392
El Salvador,0.080509645
Guatemala,0.131082123
Honduras,0.159120546
Mexico,0.225594179
Nicaragua,0.13684492
Panama,0.112756053
Venezuela (Bolivarian Republic of),0.202014281
Tropical Latin America,0.22125884
Brazil,0.220903315
Paraguay,0.236433977
North Africa and Middle East,0.203219277
North Africa and Middle East,0.203219277
Algeria,0.168783936
Bahrain,0.135758891
Egypt,0.207421804
Iran (Islamic Republic of),0.144470491
Iraq,0.224914005
Jordan,0.266888112
Kuwait,0.245652678
Lebanon,0.328580126
Libya,0.184555085
Morocco,0.138616913
Palestine,0.244899372
Oman,0.089427676
Qatar,0.160343589
Saudi Arabia,0.13858174
Syrian Arab Republic,0.26664003
Tunisia,0.259509051
Turkey,0.336178307
United Arab Emirates,0.189783337
Yemen,0.195573477
South Asia,0.192245885
South Asia,0.192245885
Afghanistan,0.068543964
Bangladesh,0.245167217
Bhutan,0.097699072
India,0.180476452
Nepal,0.370615681
Pakistan,0.21316915
Sub-Saharan Africa,0.11489917
Central Sub-Saharan Africa,0.098606829
Angola,0.100678819
Central African Republic,0.086199288
Congo,0.08900967
Democratic Republic of the Congo,0.099088625
Equatorial Guinea,0.124180808
Gabon,0.11694189
Eastern Sub-Saharan Africa,0.11802259
Burundi,0.098110487
Comoros,0.144433975
Djibouti,0.214352397
Eritrea,0.070212793
Ethiopia,0.050459022
Kenya,0.150434596
Madagascar,0.150430817
Malawi,0.136014724
Mauritius,0.216964471
Mozambique,0.144547511
Rwanda,0.148840817
Seychelles,0.247903583
Somalia,0.121767254
United Republic of Tanzania,0.151849888
Uganda,0.131112541
Zambia,0.169375778
Southern Sub-Saharan Africa,0.217998794
Botswana,0.205082586
Lesotho,0.16174136
Namibia,0.202742015
South Africa,0.236109128
Eswatini,0.100027011
Zimbabwe,0.16254558
Western Sub-Saharan Africa,0.087689734
Benin,0.093005049
Burkina Faso,0.110485606
Cameroon,0.104001259
Cabo Verde,0.074861465
Chad,0.125839525
Côte d'Ivoire,0.136842823
Gambia,0.147385649
Ghana,0.059772271
Guinea,0.158215662
Guinea-Bissau,0.03113286
Liberia,0.092423368
Mali,0.118682739
Mauritania,0.201509403
Niger,0.087289707
Nigeria,0.060665513
Sao Tome and Principe,0.048816336
Senegal,0.133792533
Sierra Leone,0.209596611
Togo,0.104954063
American Samoa,0.336690982
Bermuda,0.13838892
Cook Islands,0.32932112
Greenland,0.481179583
Guam,0.287732252
Monaco,0.300291326
Nauru,0.47286096
Niue,0.221305958
Northern Mariana Islands,0.336443954
Palau,0.259117975
Puerto Rico,0.136824991
Saint Kitts and Nevis,0.078988399
San Marino,0.258407988
Tokelau,0.290151209
Tuvalu,0.31697137
United States Virgin Islands,0.085952662
South Sudan,0.131434877
Sudan,0.127091618
=======
location_name,val
Global,23.7778954
"Southeast Asia, East Asia, and Oceania",28.144259100000003
East Asia,27.5388496
China,27.6325109
Democratic People's Republic of Korea,25.371237400000002
Taiwan (Province of China),24.5582934
Southeast Asia,29.3014066
Cambodia,26.740389799999996
Indonesia,32.6880645
Lao People's Democratic Republic,23.6710803
Malaysia,26.8238174
Maldives,24.8972904
Myanmar,29.3539559
Philippines,32.7500045
Sri Lanka,16.075385999999998
Thailand,23.1530275
Timor-Leste,33.9990437
Viet Nam,27.639886200000003
Oceania,35.5458918
Fiji,31.114141899999996
Kiribati,52.01826320000001
Marshall Islands,21.4254779
Micronesia (Federated States of),46.9651817
Papua New Guinea,36.8090851
Samoa,31.433784999999997
Solomon Islands,32.299684899999995
Tonga,31.5589436
Vanuatu,26.583478300000003
"Central Europe, Eastern Europe, and Central Asia",32.5610981
Central Asia,20.373175800000002
Armenia,29.2105016
Azerbaijan,23.169125400000002
Georgia,27.099999200000003
Kazakhstan,28.2863427
Kyrgyzstan,22.150792199999998
Mongolia,27.1101857
Tajikistan,11.7997314
Turkmenistan,19.431276699999998
Uzbekistan,12.828659
Central Europe,33.5258313
Albania,24.3618156
Bosnia and Herzegovina,35.3264868
Bulgaria,42.7558809
Croatia,34.871212899999996
Czechia,33.2576051
Hungary,37.5377474
North Macedonia,38.0642746
Montenegro,40.5115575
Poland,31.528884
Romania,32.6102918
Serbia,37.0039764
Slovakia,30.2761884
Slovenia,25.776672299999998
Eastern Europe,36.2261219
Belarus,32.1889434
Estonia,33.3690528
Latvia,34.0394107
Lithuania,28.8791841
Republic of Moldova,24.0310391
Russian Federation,37.0362887
Ukraine,36.251892000000005
High-income,28.492520199999998
High-income Asia Pacific,29.7967019
Brunei Darussalam,17.656214600000002
Japan,31.1030849
