location_name,val
Global,0.21067531
"Southeast Asia, East Asia, and Oceania",0.273350857
East Asia,0.271401861
China,0.27276589
Democratic People's Republic of Korea,0.244063277
Taiwan (Province of China),0.224087274
Southeast Asia,0.271729787
Cambodia,0.216940668
Indonesia,0.329172122
Lao People's Democratic Republic,0.263691477
Malaysia,0.23320384
Maldives,0.276304642
Myanmar,0.241134752
Philippines,0.263104212
Sri Lanka,0.147328538
Thailand,0.22276187
Timor-Leste,0.355052406
Viet Nam,0.24149102
Oceania,0.301704322
Fiji,0.284639699
Kiribati,0.497663006
Marshall Islands,0.22387268
Micronesia (Federated States of),0.49459816
Papua New Guinea,0.29833228
Samoa,0.274109653
Solomon Islands,0.354038687
Tonga,0.279709037
Vanuatu,0.231056763
"Central Europe, Eastern Europe, and Central Asia",0.290260333
Central Asia,0.194339042
Armenia,0.28172577
Azerbaijan,0.22438882
Georgia,0.287742677
Kazakhstan,0.262184437
Kyrgyzstan,0.234502784
Mongolia,0.290035266
Tajikistan,0.091914557
Turkmenistan,0.159163567
Uzbekistan,0.13380136
Central Europe,0.315890693
Albania,0.308558127
Bosnia and Herzegovina,0.393918548
Bulgaria,0.392021569
Croatia,0.357450293
Czechia,0.299419507
Hungary,0.333776585
North Macedonia,0.391437119
Montenegro,0.378450514
Poland,0.293505002
Romania,0.298121611
Serbia,0.378149932
Slovakia,0.266387494
Slovenia,0.282616578
Eastern Europe,0.318816425
Belarus,0.344466937
Estonia,0.292085116
Latvia,0.349150823
Lithuania,0.29471351
Republic of Moldova,0.242303011
Russian Federation,0.324377828
Ukraine,0.3028491
High-income,0.239588392
High-income Asia Pacific,0.233490978
Brunei Darussalam,0.167471893
Japan,0.231616876
Republic of Korea,0.248069492
Singapore,0.154088019
Australasia,0.171689839
Australia,0.168905409
New Zealand,0.186274037
Western Europe,0.27796224
Andorra,0.288462869
Austria,0.323663799
Belgium,0.250788726
Cyprus,0.342472882
Denmark,0.232291725
Finland,0.221161788
France,0.338490938
Germany,0.275838772
Greece,0.409145043
Iceland,0.162858792
Ireland,0.251642781
Israel,0.209941819
Italy,0.249277108
Luxembourg,0.252023947
Malta,0.24131147
Netherlands,0.241932743
Norway,0.192264472
Portugal,0.279887681
Spain,0.330467812
Sweden,0.136039758
Switzerland,0.267915103
United Kingdom,0.24146287
Southern Latin America,0.281117998
Argentina,0.249699395
Chile,0.355795172
Uruguay,0.272209645
High-income North America,0.192713521
Canada,0.180180233
United States of America,0.194030009
Latin America and Caribbean,0.140233452
Caribbean,0.152259692
Antigua and Barbuda,0.087104497
Bahamas,0.072485413
Barbados,0.093070702
Belize,0.131697359
Cuba,0.250497067
Dominica,0.107472349
Dominican Republic,0.123453884
Grenada,0.11762585
Guyana,0.144390169
Haiti,0.064119143
Jamaica,0.141531621
Saint Lucia,0.122941132
Saint Vincent and the Grenadines,0.123465418
Suriname,0.222921336
Trinidad and Tobago,0.189119164
Andean Latin America,0.102044503
Bolivia (Plurinational State of),0.12018643
Ecuador,0.164138667
Peru,0.066412856
Central Latin America,0.162129998
Colombia,0.139822693
Costa Rica,0.123693239
El Salvador,0.095299742
Guatemala,0.122317382
Honduras,0.142924496
Mexico,0.18121143
Nicaragua,0.133493551
Panama,0.085236269
Venezuela (Bolivarian Republic of),0.176514911
Tropical Latin America,0.122825862
Brazil,0.121539728
Paraguay,0.172605886
North Africa and Middle East,0.19541614
North Africa and Middle East,0.19541614
Algeria,0.170334502
Bahrain,0.15614966
Egypt,0.225993764
Iran (Islamic Republic of),0.148676882
Iraq,0.203829216
Jordan,0.322093823
Kuwait,0.217052316
Lebanon,0.360215826
Libya,0.203263706
Morocco,0.118406563
Palestine,0.224324018
Oman,0.113232922
Qatar,0.182442379
Saudi Arabia,0.146269914
Syrian Arab Republic,0.242456128
Tunisia,0.241604138
Turkey,0.302273544
United Arab Emirates,0.166426288
Yemen,0.199702628
South Asia,0.16397849
South Asia,0.16397849
Afghanistan,0.09684952
Bangladesh,0.241484509
Bhutan,0.099252312
India,0.154577117
Nepal,0.236364844
Pakistan,0.159233846
Sub-Saharan Africa,0.102951989
Central Sub-Saharan Africa,0.106826541
Angola,0.101185
Central African Republic,0.081872811
Congo,0.112680142
Democratic Republic of the Congo,0.10923753
Equatorial Guinea,0.138964917
Gabon,0.122019547
Eastern Sub-Saharan Africa,0.105489352
Burundi,0.103474898
Comoros,0.130176115
Djibouti,0.252898085
Eritrea,0.063520781
Ethiopia,0.054141816
Kenya,0.111548918
Madagascar,0.137570848
Malawi,0.13162854
Mauritius,0.224869429
Mozambique,0.145873763
Rwanda,0.147824031
Seychelles,0.238406991
Somalia,0.113903406
United Republic of Tanzania,0.117543052
Uganda,0.101385532
Zambia,0.171955986
Southern Sub-Saharan Africa,0.20832465
Botswana,0.205904592
Lesotho,0.203145524
Namibia,0.173064855
South Africa,0.221861879
Eswatini,0.085706936
Zimbabwe,0.172142248
Western Sub-Saharan Africa,0.074053365
Benin,0.06267115
Burkina Faso,0.09101966
Cameroon,0.084531268
Cabo Verde,0.06032278
Chad,0.098642155
Côte d'Ivoire,0.137140374
Gambia,0.121765037
Ghana,0.060898278
Guinea,0.154362238
Guinea-Bissau,0.041175768
Liberia,0.083275229
Mali,0.12290053
Mauritania,0.188608672
Niger,0.079273969
Nigeria,0.045683007
Sao Tome and Principe,0.046973418
Senegal,0.087288952
Sierra Leone,0.196191318
Togo,0.07950054
American Samoa,0.321688107
Bermuda,0.132831869
Cook Islands,0.303293606
Greenland,0.451582923
Guam,0.262025904
Monaco,0.269403699
Nauru,0.431565539
Niue,0.209048755
Northern Mariana Islands,0.300594697
Palau,0.237655423
Puerto Rico,0.126812982
Saint Kitts and Nevis,0.068350171
San Marino,0.199972747
Tokelau,0.283620058
Tuvalu,0.330884068
United States Virgin Islands,0.068412384
South Sudan,0.119999411
Sudan,0.11137891
